TRANSACT_TIME,\delta p autocorr,direction autocorr,spread,trade_size_ave,trade_size_sum, Parks,Gk,TTM,instru_id
2022-03-01 09:30:00,-0.11062747271826273,0.4833333333333333,0.004544302325612648,97896621396.8254,6167487148000.0,0.46989179172861195,0.7983929144701631,14409.82433862434,1
2022-03-01 10:00:00,-0.29900732353493537,0.5532105295224332,-0.004774110091815942,1323425563036.0361,1028301662479000.0,16.96400756893868,28.815808831912015,14382.979815529816,1
2022-03-01 10:30:00,-0.18976304507598113,0.5203200681874373,0.0015742448435531742,3508075750518.268,2592467979633000.0,19.07680440645253,32.40469700197935,14355.689828597204,1
2022-03-01 11:00:00,-0.1207284179435053,0.4838261522575802,0.0029992462500842976,5104220401239.829,2383670927379000.0,12.895571889031386,21.90498847226055,14326.453854389722,1
2022-03-01 11:30:00,-0.192156769941544,0.345943033115501,0.004198086337396489,5910142206839.623,1252950147850000.0,5.854092592022814,9.944034116519248,14298.273191823899,1
2022-03-01 12:00:00,-0.34793284226057186,0.34482815410429823,-0.0011782608695511954,6195514075230.77,161083365956000.0,0.7179547518518545,1.219689465828024,14275.05576923077,1
2022-03-01 14:00:00,-0.20045804245443152,0.5847240837357118,-0.0027482244072700723,6671089775973.118,2481645396662000.0,10.53421450703475,17.893885616723466,14141.080869175627,1
2022-03-01 14:30:00,-0.18470380316533555,0.6315281796885766,0.0031535516579879186,7602726669462.141,2911844314404000.0,10.965041152374898,18.625706165274973,14115.065317667537,1
2022-03-01 15:00:00,-0.2946655239901169,0.6102629962354013,0.0030784637682046423,8363086593529.412,1990414609260000.0,6.813785363616778,11.574207679258468,14088.303011204482,1
2022-03-01 15:30:00,-0.00493215437977965,0.6076555023923443,0.0027744444443982275,8751353166554.217,726362312824000.0,2.3762360721856832,4.036420566018334,14058.311044176706,1
2022-03-01 16:00:00,-0.026550218656626788,0.7498288250785272,0.01749044507960207,9004551463072.727,990500660938000.0,3.239109909306921,5.50212440097208,14026.893939393938,1
2022-03-01 16:30:00,0.32183310374728846,0.5773502691896257,0.012485714285688232,9181845371600.0,137727680574000.0,0.4509460984882896,0.7662199317881673,13992.214444444446,1
2022-03-01 17:00:00,-0.17682768447503955,0.5666666666666668,0.008332000000066841,9273359414950.0,370934376598000.0,1.2025229293021056,2.0427415991565976,13966.839583333334,1
2022-03-01 17:30:00,0.6929330412451419,0.6123724356957945,0.0028749999999888587,9355098244500.0,56130589467000.0,0.18037843939531584,0.3069563240913414,13937.091666666667,1
2022-03-02 09:30:00,-0.04193748440308533,0.8245155516598034,-0.0019202898550787495,136519901903.2258,8464233918000.0,0.8633476449931228,1.4663462702829533,12968.558870967743,1
2022-03-02 10:00:00,-0.21080222975691384,0.5857668820470794,-0.0019755897013595813,1176314679981.022,805775555787000.0,13.122003598445163,22.289596012697004,12942.365596107056,1
2022-03-02 10:30:00,-0.2665626200650135,0.6202190298298984,0.0013167092944144088,3459235856784.124,3573390640058000.0,19.788364550647962,33.613371232692096,12915.183446272991,1
2022-03-02 11:00:00,-0.10201376388198684,0.6316546966258076,0.0012768899896116181,5689175228626.2295,3470396889462000.0,11.685287875987665,19.84912663999457,12886.310601092897,1
2022-03-02 11:30:00,0.016541470335806326,0.5297173414820473,0.00378567362429294,6877820176966.154,2235291557514000.0,6.225768130649166,10.57533711015076,12859.045794871794,1
2022-03-02 12:00:00,-0.4815090634274447,0.5773502691896258,0.0009337500000157206,7315179222380.952,153618763670000.0,0.4022804022880999,0.6829582065985156,12832.969047619046,1
2022-03-02 14:00:00,-0.2649974441459915,0.5871847026635901,0.0028346598640780485,7682278169672.474,2204813834696000.0,5.4978321646040325,9.33883015101477,12703.658013937282,1
2022-03-02 14:30:00,-0.22046304225658325,0.6578918325791429,0.003212898669602282,8602948073853.081,3630444087166000.0,8.083920465027532,13.731681217661114,12674.357227488152,1
2022-03-02 15:00:00,-0.210007513771819,0.6961960299090876,0.006332401656365505,9456572405140.469,2827515149137000.0,5.727706680197232,9.729306120411408,12645.058082497213,1
2022-03-02 15:30:00,-0.3142102298585656,0.555822088955522,0.009198162055426451,10167743923871.922,2064052016546000.0,3.888710555451633,6.605494741879344,12621.131444991788,1
2022-03-02 16:00:00,-0.37385675490341636,0.6805273833671399,0.006731921182236533,10595614620187.5,678119335692000.0,1.2259974164970664,2.082410362635097,12584.1953125,1
2022-03-02 16:30:00,-0.38083553748338034,0.5102828626207215,0.00017428571423749872,10808558981682.54,680939215846000.0,1.251603873102196,2.125909108614433,12560.926719576719,1
2022-03-02 17:00:00,0.036344888895800856,0.6915640748081247,0.006517391304342368,10955290019480.0,273882250487000.0,0.5142115922143992,0.8731705916313001,12529.966666666667,1
2022-03-02 17:30:00,-0.3143239949063228,0.5000000000000001,0.00010833333334403505,11007833818000.0,187133174906000.0,0.36075037394182086,0.61237054207821,12496.921568627451,1
2022-03-02 18:00:00,-0.5,-0.3333333333333333,0.008099999999998886,11033423991200.0,55167119956000.0,0.10851071157151515,0.18293401708977652,12475.653333333334,1
2022-03-03 09:30:00,-0.40595601295172523,0.49351047957583793,0.000849233716451181,61975108808.510635,2912830114000.0,0.2665780114625325,0.4523697761447269,11530.898226950354,1
2022-03-03 10:00:00,-0.4717041717655739,0.6764385307409171,0.0008074121485321939,1479752642605.317,1447198084468000.0,14.549065019631525,24.713667925836543,11503.080402181322,1
2022-03-03 10:30:00,-0.12191023273641319,0.576468838393853,0.0004523066341306503,4597787887851.613,5701256980936000.0,23.63689884128126,40.15066186744341,11475.881021505376,1
