,\delta p autocorr,direction autocorr,spread,trade_size_ave,trade_size_sum, Parks,Gk,TTM
2022-03-01 09:30:00,-0.1106274727182627,0.4833333333333331,0.0045443023256126,97896621396.8254,6167487148000.0,0.5381456867495805,0.9143063378207106,14411.103030303031
2022-03-01 10:00:00,-0.299007323534936,0.5532105295224334,-0.0047741100918159,1323425563036.036,1028301662479000.0,19.04504078902324,32.35074172399389,14383.250635276532
2022-03-01 10:30:00,-0.189763045075981,0.5203200681874376,0.0015742448435531,3508075750518.268,2592467979633000.0,21.43121706542441,36.404004082604274,14355.345110847187
2022-03-01 11:00:00,-0.1207284179435052,0.4838261522575811,0.0029992462500842,5104220401239.829,2383670927379000.0,13.747417685007113,23.351970008900604,14326.402224435593
2022-03-01 11:30:00,-0.1921567699415438,0.3459430331155012,0.0041980863373964,5910142206839.623,1252950147850000.0,6.8204694198128335,11.585559530401737,14298.255555555555
2022-03-01 12:00:00,-0.347932842260572,0.3448281541042982,-0.0011782608695511,6195514075230.77,161083365956000.0,1.0235925105647894,1.7387799917141198,14273.096031746032
2022-03-01 14:00:00,-0.2004580424544315,0.5847240837357122,-0.00274822440727,6671089775973.118,2481645396662000.0,11.873924850557902,20.169574184171385,14141.434780907668
2022-03-01 14:30:00,-0.1847038031653357,0.6315281796885766,0.0031535516579879,7602726669462.141,2911844314404000.0,12.816915893702838,21.77137944742136,14114.869640234949
2022-03-01 15:00:00,-0.2946655239901168,0.6102629962354011,0.0030784637682046,8363086593529.412,1990414609260000.0,8.08582262482826,13.734942046989008,14087.86275862069
2022-03-01 15:30:00,-0.0049321543797796,0.6076555023923443,0.0027744444443982,8751353166554.217,726362312824000.0,2.8419032357747125,4.827409981743435,14057.141823899372
2022-03-01 16:00:00,-0.0265502186566267,0.7498288250785273,0.017490445079602,9004551463072.727,990500660938000.0,4.020762855149493,6.82986417616246,14026.514452214453
2022-03-01 16:30:00,0.3218331037472883,0.5773502691896257,0.0124857142856882,9181845371600.0,137727680574000.0,1.2638794000752058,2.146912179446494,13994.665432098764
2022-03-01 17:00:00,-0.1768276844750395,0.5666666666666665,0.0083320000000668,9273359414950.0,370934376598000.0,1.811648524883981,3.077379603067491,13965.928835978835
2022-03-01 17:30:00,0.692933041245142,0.6123724356957946,0.0028749999999888,9355098244500.0,56130589467000.0,0.4207528661066932,0.7147503086183229,13938.776041666666
2022-03-01 18:00:00,0.5000000000052641,,0.0071499999999957,9372190935200.0,46860954676000.0,0.4751841289761756,0.8071484502663344,13902.430208333331
2022-03-02 09:30:00,-0.0419374844030853,0.8245155516598043,-0.0019202898550787,136519901903.2258,8464233918000.0,0.8633476449931228,1.4663462702829533,12968.558870967743
2022-03-02 10:00:00,-0.2108022297569139,0.5857668820470789,-0.0019755897013595,1176314679981.022,805775555787000.0,13.122003598445165,22.289596012697004,12942.365596107056
2022-03-02 10:30:00,-0.2665626200650134,0.6202190298298986,0.0013167092944144,3459235856784.124,3573390640058000.0,19.78836455064796,33.613371232692096,12915.183446272991
2022-03-02 11:00:00,-0.1020137638819869,0.6316546966258066,0.0012768899896116,5689175228626.2295,3470396889462000.0,11.685287875987663,19.84912663999457,12886.310601092897
2022-03-02 11:30:00,0.0165414703358063,0.5297173414820486,0.0037856736242929,6877820176966.154,2235291557514000.0,6.225768130649166,10.57533711015076,12859.045794871794
2022-03-02 12:00:00,-0.4815090634274441,0.5773502691896258,0.0009337500000157,7315179222380.952,153618763670000.0,0.4022804022880999,0.6829582065985156,12832.969047619046
2022-03-02 14:00:00,-0.2649974441459916,0.5871847026635905,0.002834659864078,7682278169672.474,2204813834696000.0,5.4978321646040325,9.33883015101477,12703.658013937282
2022-03-02 14:30:00,-0.2204630422565832,0.657891832579142,0.0032128986696022,8602948073853.081,3630444087166000.0,8.083920465027532,13.731681217661114,12674.357227488152
2022-03-02 15:00:00,-0.2100075137718188,0.696196029909088,0.0063324016563655,9456572405140.469,2827515149137000.0,5.727706680197232,9.729306120411408,12645.058082497211
2022-03-02 15:30:00,-0.3142102298585657,0.5558220889555227,0.0091981620554264,10167743923871.922,2064052016546000.0,3.888710555451633,6.605494741879344,12621.131444991788
2022-03-02 16:00:00,-0.3738567549034162,0.68052738336714,0.0067319211822365,10595614620187.5,678119335692000.0,1.2259974164970664,2.082410362635097,12584.1953125
2022-03-02 16:30:00,-0.3808355374833803,0.5102828626207218,0.0001742857142374,10808558981682.54,680939215846000.0,1.251603873102196,2.125909108614433,12560.92671957672
2022-03-02 17:00:00,0.0363448888958008,0.6915640748081247,0.0065173913043423,10955290019480.0,273882250487000.0,0.5142115922143992,0.8731705916313001,12529.966666666667
2022-03-02 17:30:00,-0.3143239949063228,0.5000000000000001,0.000108333333344,11007833818000.0,187133174906000.0,0.3607503739418208,0.61237054207821,12496.921568627453
2022-03-02 18:00:00,-0.5,-0.3333333333333333,0.0080999999999988,11033423991200.0,55167119956000.0,0.1085107115715151,0.1829340170897765,12475.653333333334
2022-03-03 09:30:00,-0.4059560129517253,0.4935104795758379,0.0008492337164511,61975108808.51064,2912830114000.0,0.2665780114625325,0.4523697761447269,11530.898226950354
2022-03-03 10:00:00,-0.4717041717655739,0.6764385307409168,0.0008074121485321,1479752642605.317,1447198084468000.0,14.539727635442828,24.69780703263109,11503.0659160696
2022-03-03 10:30:00,-0.1219102327364132,0.576468838393855,0.0004523066341306,4597787887851.613,5701256980936000.0,23.61783682608668,40.11828229321351,11475.874092009686
