TRANSACT_TIME,\delta p autocorr,direction autocorr,spread,trade_size_ave,trade_size_sum, Parks,Gk,TTM,instru_id
2022-03-01 09:20:00,0.1488721377568702,0.7753298418327285,0.009341666666671244,54531884607.14286,1526892769000.0,0.20006697004522023,0.3403453287599251,14412.488690476192,1
2022-03-01 09:30:00,-0.20064935643184145,0.14772727272727285,0.0037548913043394805,148693449387.09677,4609496931000.0,0.25312913599709885,0.4303737376809897,14405.941935483872,1
2022-03-01 09:40:00,-0.34777508527179496,0.4130523731587561,0.002587700101315704,419572651026.3158,63775042956000.0,2.7827065981118566,4.726862934975343,14394.128728070176,1
2022-03-01 09:50:00,-0.19508405906065318,0.6145257962157712,0.004150077960488829,1130933572367.7812,372077145309000.0,7.071817876497329,12.012512416878536,14385.055217831814,1
2022-03-01 10:00:00,-0.15985307996909393,0.5181077860210502,0.001062141779641479,2001518493966.2163,592449474214000.0,7.039590594606729,11.957769815905925,14374.947916666666,1
2022-03-01 10:10:00,-0.2771257225286246,0.48986380468210644,0.0021432250839126255,2777568262780.392,708279907009000.0,6.154475808039131,10.454277304744457,14365.26294117647,1
2022-03-01 10:20:00,-0.11538238463584587,0.46947565074253783,0.0027465764469241094,3597226804176.692,956862329911000.0,6.874952979701388,11.678109527421778,14355.153571428571,1
2022-03-01 10:30:00,-0.24793066567982755,0.5709182883341457,0.004437264365705573,4253787810610.092,927325742713000.0,6.019774457834781,10.225468084276326,14345.14625382263,1
2022-03-01 10:40:00,-0.08909719181731646,0.5258090586558252,0.0035419695969096665,4754176466764.368,827226705217000.0,4.804774108547027,8.161619745451409,14335.075670498083,1
2022-03-01 10:50:00,-0.21922216296040406,0.3996808990375281,-0.002264414414497651,5192820273043.243,960671750513000.0,5.108524195868965,8.677581641559232,14325.576036036035,1
2022-03-01 11:00:00,-0.049528279605600294,0.528022231517588,0.0030127819549079504,5516411774527.777,595772471649000.0,2.982273584615396,5.065853698431554,14314.066820987653,1
2022-03-01 11:10:00,-0.2506643345988514,0.11842548467261707,0.0036751842751669983,5767722791432.099,467185546106000.0,2.236705188461547,3.799409966315646,14306.242386831276,1
2022-03-01 11:20:00,-0.08699420113739881,0.551158301158301,0.003257236842102884,5959651638776.596,560207254045000.0,2.595682564387474,4.409178363739946,14295.943794326242,1
2022-03-01 11:30:00,-0.1961646805176504,0.17056057308448835,0.0015156666666484853,6096144532405.405,225557347699000.0,1.0217048391737928,1.7356109233475632,14286.745045045045,1
2022-03-01 11:40:00,-0.35215800685538445,-0.06286946134619315,-0.0011782608695511954,6193838217920.0,154845955448000.0,0.6903411075498601,1.1727893338055098,14275.407333333334,1
2022-03-01 13:40:00,-0.027129994778117353,0.1346153846153846,0.009277777777754181,6280676977419.3545,194700986300000.0,0.8560229733618265,1.4541955524386498,14152.562365591399,1
2022-03-01 13:50:00,-0.2261050033437503,0.5875850340136052,-0.001178787878771459,6528075654102.564,1272974752550000.0,5.499278776052042,9.341333008232029,14143.816495726496,1
2022-03-01 14:00:00,-0.3572379806216635,0.5657979570990072,0.001286318597664149,6944997656246.575,1013969657812000.0,4.178361000497689,7.097570269489406,14134.989269406393,1
2022-03-01 14:10:00,-0.2869605446031734,0.5453852021357742,0.0047473388305547815,7308119585066.667,1096217937760000.0,4.294402540094608,7.294682837041232,14123.798222222222,1
2022-03-01 14:20:00,0.021096098957659105,0.7092477888545983,0.004722574508548405,7649152271099.174,925547424803000.0,3.4641513823429837,5.8843876398433235,14113.917768595042,1
2022-03-01 14:30:00,-0.2451616089480616,0.469245414877821,0.0032356097561319075,7947133498580.357,890078951841000.0,3.206487229937307,5.446710411652164,14104.609226190476,1
2022-03-01 14:40:00,-0.19562326562329022,0.6532067587684238,0.0030114638447287234,8219467854577.235,1010994546113000.0,3.5214100828775785,5.9816492925201405,14095.425880758807,1
2022-03-01 14:50:00,-0.3618399751186255,0.45184805705753184,0.004840079365138195,8460754676234.375,541488299279000.0,1.8322784171070328,3.1124429541989596,14085.426822916666,1
2022-03-01 15:00:00,-0.3225159862035699,0.6286361115149227,0.0038852380952789645,8586897330745.098,437931763868000.0,1.4600968636321667,2.4802531457588484,14074.733660130718,1
2022-03-01 15:10:00,0.03447270378691471,0.747561394947389,0.0006428235293896023,8698791521976.19,365349243923000.0,1.2024327112264903,2.042588357081076,14065.528968253968,1
2022-03-01 15:20:00,0.012483566421019771,0.5367450401216931,0.004415555555581818,8784369482125.0,210824867571000.0,0.6871044064151373,1.1672920189990401,14055.490277777777,1
2022-03-01 15:30:00,-0.11634115493713904,0.3133397807202561,0.0021621212121516464,8834600078235.295,150188201330000.0,0.4866989545440556,0.8269348979324006,14044.460784313726,1
2022-03-01 15:40:00,-0.29042480774479223,0.6865743204640421,0.01233939393938499,8917590252704.545,392373971119000.0,1.2646343811671688,2.1482427076718245,14032.69734848485,1
2022-03-01 15:50:00,0.0434858055115723,0.6942856186939229,0.011684959349594237,9035528667191.49,424669847358000.0,1.4026573985457267,2.382686789507239,14025.994326241134,1
2022-03-01 16:00:00,-0.011233741892590477,0.6785714285714286,0.009434285714306156,9129307497947.37,173456842461000.0,0.5711983914185002,0.9704387340617159,14015.679824561405,1
2022-03-01 16:40:00,-0.3754634219080721,0.2,0.000816666666707988,9234304101473.684,175451777928000.0,0.5711983914185002,0.9704387340617159,13978.166666666668,1
2022-03-01 17:00:00,-0.11156188109539227,0.4333333333333333,-0.001300000000000523,9314184826111.111,167655326870000.0,0.5411353181859475,0.919382076384705,13955.446296296295,1
