time,instru_id,delta_avg_p, average price,return,avg_minus_open, delta_open_p,open_minus_close,delta_avg_p_next,return_next,instru_id_is2,spread_diff,spread_diff2, average price_y_lag1,spread,open_minus_close_y_lag1,instru_id_is2
2022-03-01 09:30:00,1,-0.0059761091656724,100.31549360174104,-5.957314220471288e-05,0.0010936017410188,-0.0081999999999879,0.0002000000000066,-0.0059761091656724,-5.957314220471288e-05,False,,,,0.0037548913043394,,False
2022-03-01 09:40:00,1,-0.0780942618692819,100.23739933987174,-0.0007790930569187,-0.060700660128262,-0.016300000000001,0.0731000000000108,-0.0780942618692819,-0.0007790930569187,False,-0.0011671912030237,,100.31549360174104,0.0025877001013157,0.0002000000000066,False
2022-03-01 09:50:00,1,-0.0394294606229692,100.19796987924876,-0.0003935155639429,-0.0249301207512218,-0.0752000000000094,0.053299999999993,-0.0394294606229692,-0.0003935155639429,False,0.0015623778591731,0.00039518665614940007,100.23739933987174,0.0041500779604888,0.0731000000000108,False
2022-03-01 10:00:00,1,-0.0211915324672133,100.17677834678156,-0.0002115413653437,0.0091783467815673,-0.0553000000000025,0.0001999999999924,-0.0211915324672133,-0.0002115413653437,False,-0.0030879361808474,-0.0015255583216742998,100.19796987924876,0.0010621417796414,0.053299999999993,False
2022-03-01 10:10:00,1,-0.0094877191873194,100.16729062759424,-9.471873630478138e-05,9.062759424693922e-05,-0.000399999999999,0.0082999999999913,-0.0094877191873194,-9.471873630478138e-05,False,0.0010810833042711999,-0.0020068528765762,100.17677834678156,0.0021432250839126,0.0001999999999924,False
2022-03-01 10:20:00,1,-0.0251321530090962,100.14215847458514,-0.0002509647624129,-0.0135415254148512,-0.011499999999998,0.0258999999999929,-0.0251321530090962,-0.0002509647624129,False,0.0006033513630115,0.0016844346672826999,100.16729062759424,0.0027465764469241,0.0082999999999913,False
2022-03-01 10:30:00,1,0.0036058554838831,100.14576433006904,3.600607083090063e-05,0.0158643300690215,-0.0257999999999896,-0.0219999999999913,0.0036058554838831,3.600607083090063e-05,False,0.0016906879187814005,0.0022940392817929005,100.14215847458514,0.0044372643657055,0.0258999999999929,False
2022-03-01 10:40:00,1,0.0112350787186414,100.15699940878768,0.000112174673612,0.0050994087876716,0.0219999999999913,-0.0118999999999971,0.0112350787186414,0.000112174673612,False,-0.0008952947687959002,0.0007953931499855003,100.14576433006904,0.0035419695969096,-0.0219999999999913,False
2022-03-01 10:50:00,1,-0.0099330198695355,100.14706638891812,-9.91843318800868e-05,-0.0148336110818689,0.0100000000000051,0.0157000000000095,-0.0099330198695355,-9.91843318800868e-05,False,-0.0058063840114072,-0.006701678780203101,100.15699940878768,-0.0022644144144976,-0.0118999999999971,False
2022-03-01 11:00:00,1,-0.0091608689770339,100.1379055199411,-9.14825303112584e-05,-0.0097944800589004,-0.0142000000000024,0.0211000000000041,-0.0091608689770339,-9.14825303112584e-05,False,0.005277196369405501,-0.0005291876420017,100.14706638891812,0.0030127819549079,0.0157000000000095,False
