,TIMESTAMP,instID,\delta p autocorr,tradeAmt_avg,tradeAmt_sum,std,TTM,delta_avg_tradevolm,delta_sum_tradevolm
0,2019-08-21 09:20:00,1,-0.6937948984281653,,,0.0137657148293095,33672.86190476191,,
1,2019-08-21 09:30:00,1,-0.5398721254974742,23181818.181818184,1020000000.0,0.0076859692050888,33664.81666666666,-9199134.199134197,340000000.0
2,2019-08-21 09:40:00,1,-0.4875714992727052,29780219.78021978,2710000000.0,0.02441745397473,33654.93406593406,6598401.598401595,1690000000.0
3,2019-08-21 09:50:00,1,-0.1921247927659492,28857142.85714286,2020000000.0,0.0249002676946048,33645.209523809506,-923076.9230769202,-690000000.0
4,2019-08-21 10:00:00,1,-0.5000869067877041,33333333.33333333,3000000000.0,0.0068216909132823,33634.68833333333,4476190.47619047,980000000.0
5,2019-08-21 10:10:00,1,-0.6772966209552195,31983471.074380167,3870000000.0,0.034198209118125,33625.22451790631,-1349862.2589531615,870000000.0
6,2019-08-21 10:20:00,1,-0.5239937330341604,50172413.79310345,5820000000.0,0.0183697774248537,33614.884770114935,18188942.718723282,1950000000.0
7,2019-08-21 10:30:00,1,-0.4770785866761219,32032520.32520325,3940000000.0,0.0097150641966175,33604.96910569105,-18139893.467900198,-1880000000.0
8,2019-08-21 10:40:00,1,-0.4930677616361093,31666666.666666668,3610000000.0,0.0035621555308658,33595.21140350879,-365853.6585365832,-330000000.0
9,2019-08-21 10:50:00,1,-0.4103419639508767,26972477.064220183,2940000000.0,0.0264658394122192,33585.0128440367,-4694189.602446485,-670000000.0
10,2019-08-21 11:00:00,1,-0.3363031323814648,27699115.044247787,3130000000.0,0.0259860951221331,33574.88820058997,726637.9800276048,190000000.0
11,2019-08-21 11:10:00,1,-0.4770257998622448,35867768.59504132,4340000000.0,0.048118707981941,33565.246831955934,8168653.550793532,1210000000.0
12,2019-08-21 11:20:00,1,-0.5781570105557531,59347826.08695652,5460000000.0,0.1195246771274771,33555.69420289854,23480057.491915204,1120000000.0
13,2019-08-21 11:30:00,1,-0.3821283225922859,51200000.0,2560000000.0,0.0541910913681699,33545.47233333334,-8147826.086956523,-2900000000.0
14,2019-08-21 11:40:00,1,-0.3780245927667848,37096774.19354839,1150000000.0,0.027434354885015,33533.85860215054,-14103225.806451611,-1410000000.0
15,2019-08-21 11:50:00,1,0.0244321995323175,33333333.33333333,400000000.0,0.126562150261397,33526.85833333334,-3763440.8602150604,-750000000.0
16,2019-08-21 12:00:00,1,-0.5952380952437727,46666666.66666666,280000000.0,0.0003250640962425,33518.51666666667,13333333.333333328,-120000000.0
17,2019-08-21 13:40:00,1,-0.5181411660333121,31904761.904761903,2010000000.0,0.0996643595641494,33415.1880952381,-14761904.761904754,1730000000.0
18,2019-08-21 13:50:00,1,-0.4982936371679017,29204545.454545453,2570000000.0,0.0497481276591428,33404.53428030303,-2700216.45021645,560000000.0
19,2019-08-21 14:00:00,1,-0.4345022596374442,34197530.86419753,2770000000.0,0.0558312661585267,33395.16090534981,4992985.409652077,200000000.0
20,2019-08-21 14:10:00,1,-0.3936679507931733,35454545.45454545,2340000000.0,0.1269840308958726,33384.538131313115,1257014.5903479233,-430000000.0
21,2019-08-21 14:20:00,1,-0.5273600806386713,34000000.0,2380000000.0,0.1298825061417296,33374.54857142857,-1454545.4545454532,40000000.0
22,2019-08-21 14:30:00,1,-0.1440260571657433,34059405.94059406,3440000000.0,0.1040262385408152,33365.02425742574,59405.94059406221,1060000000.0
23,2019-08-21 14:40:00,1,-0.6800020132768687,39270833.333333336,3770000000.0,0.124426301017383,33354.92447916667,5211427.392739274,330000000.0
24,2019-08-21 14:50:00,1,-0.2943284833173408,42151898.73417722,3330000000.0,0.144589324689001,33345.06265822786,2881065.400843881,-440000000.0
25,2019-08-21 15:00:00,1,-0.2965311114913742,40978260.86956522,3770000000.0,0.1752968709936719,33335.58405797101,-1173637.8646119982,440000000.0
26,2019-08-21 15:10:00,1,-0.7002682992440041,60000000.0,3480000000.0,0.0867357621804096,33325.80603448276,19021739.13043478,-290000000.0
27,2019-08-21 15:20:00,1,-0.4629821605945079,29508196.72131148,1800000000.0,0.0841521649033658,33314.646448087435,-30491803.27868852,-1680000000.0
28,2019-08-21 15:30:00,1,-0.5877604495690125,50000000.0,1650000000.0,0.0670727311874142,33304.52676767676,20491803.27868852,-150000000.0
29,2019-08-21 16:00:00,1,-0.5626906784395105,30327868.852459017,1850000000.0,0.1031038755479416,33274.942622950824,-19672131.147540983,200000000.0
30,2019-08-21 16:10:00,1,-0.5254436903651875,43066666.66666666,3230000000.0,0.0959682676909572,33265.39177777778,12738797.81420764,1380000000.0
31,2019-08-21 16:20:00,1,-0.3703238066432746,33269230.769230768,1730000000.0,0.0862049863301117,33255.34903846154,-9797435.897435889,-1500000000.0
32,2019-08-21 16:30:00,1,-0.3904853431873353,25172413.79310345,730000000.0,0.0836738981494639,33243.62241379311,-8096816.976127319,-1000000000.0
33,2019-08-21 16:40:00,1,-0.6091894871377598,28000000.0,280000000.0,0.0842607915937156,33236.59,2827586.206896551,-450000000.0
34,2019-08-22 09:10:00,1,-0.7294536519885954,38571428.571428575,270000000.0,0.1282119172085248,32246.509523809527,10571428.571428575,-10000000.0
35,2019-08-22 09:20:00,1,-0.0014221398835526,23043478.260869566,530000000.0,0.0084639038264968,32233.73478260869,-15527950.310559008,260000000.0
36,2019-08-22 09:30:00,1,-0.4889044151746459,30266666.666666668,2270000000.0,0.0193584001833221,32224.494000000017,7223188.405797102,1740000000.0
